product,deal,price,span,url,img,store,state,postcode
Majans Bhuja Nut Mix, 140 Gram, $3.88,$3.88 was $4.50$2.77/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/majans-bhuja-nut-mix-954539,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/954539.jpg",IGA,NSW,2060
Massel Gourmet Liquid Stock Chicken, 1 Litre, $3.20,$3.20 was $3.80$3.20/l,https://new.igashop.com.au/sm/pickup/rsid/52511/product/massel-gourmet-liquid-stock-chicken-640790,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/640790.jpg",IGA,NSW,2060
MasterFoods Honey, Garlic & Soy Stir Fry Recipe Base, 175 Gram,$2.00 was $2.30$1.14/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/masterfoods-honey-garlic-&-soy-stir-fry-recipe-base-87057,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/87057.jpg",IGA,NSW,2060
MasterFoods Lamb Casserole Slow Cook Recipe Base, 175 Gram, $2.00,$2.00 was $2.30$1.14/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/masterfoods-lamb-casserole-slow-cook-recipe-base-87507,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/87507.jpg",IGA,NSW,2060
MasterFoods Recipe Base Country Beef Casserole, 175 Gram, $2.00,$2.00 was $2.30$1.14/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/masterfoods-recipe-base-country-beef-casserole-372114,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/372114.jpg",IGA,NSW,2060
MasterFoods San Choy Bow Recipe Base, 175 Gram, $2.00,$2.00 was $2.30$1.14/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/masterfoods-san-choy-bow-recipe-base-824899,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/824899.jpg",IGA,NSW,2060
MasterFoods Satay Chicken Stir Fry Recipe Base, 175 Gram, $2.00,$2.00 was $2.30$1.14/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/masterfoods-satay-chicken-stir-fry-recipe-base-42112,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/42112.jpg",IGA,NSW,2060
MasterFoods Sausage Hot Pot Slow Cook Recipe Base, 175 Gram, $2.00,$2.00 was $2.30$1.14/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/masterfoods-sausage-hot-pot-slow-cook-recipe-base-77887,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/77887.jpg",IGA,NSW,2060
MasterFoods Tomato Sauce Squeeze Bottle, 920 Millilitre, $3.50,$3.50 was $4.00$0.38/100ml,https://new.igashop.com.au/sm/pickup/rsid/52511/product/masterfoods-tomato-sauce-squeeze-bottle-96661,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/96661.jpg",IGA,NSW,2060
McKenzie's Baking Aids Gelatine, 100 Gram, $3.96,$3.96 was $4.20$3.96/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/mckenzies-baking-aids-gelatine-258263,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/258263.jpg",IGA,NSW,2060
McKenzie's Baking Powder, 125 Gram, $2.69,$2.69 was $2.85$2.15/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/mckenzies-baking-powder-140813,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/140813.jpg",IGA,NSW,2060
McKenzie's Coarse Milled Black Pepper, 50 Gram, $2.81,$2.81 was $3.20$5.62/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/mckenzies-coarse-milled-black-pepper-190000003806,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/190000003806.jpg",IGA,NSW,2060
McKenzie's Cream Of Tartar, 125 Gram, $3.72,$3.72 was $4.00$2.98/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/mckenzies-cream-of-tartar-361812,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/361812.jpg",IGA,NSW,2060
McKenzie's Ground Black Pepper, 50 Gram, $2.81,$2.81 was $3.20$5.62/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/mckenzies-ground-black-pepper-84656,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/84656.jpg",IGA,NSW,2060
McKenzie's Ground White Pepper, 50 Gram, $2.81,$2.81 was $3.20$5.62/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/mckenzies-ground-white-pepper-20000001054,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000001054.jpg",IGA,NSW,2060
McKenzie's Whole Black Pepper, 50 Gram, $2.81,$2.81 was $3.20$5.62/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/mckenzies-whole-black-pepper-190000003807,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/190000003807.jpg",IGA,NSW,2060
Medix Cold & Flu + Pain Relief PE, 20 Each, $10.35,$10.35 was $11.00$0.52 each,https://new.igashop.com.au/sm/pickup/rsid/52511/product/medix-cold-&-flu-pain-relief-pe-841354,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/841354.jpg",IGA,NSW,2060
Medix Honey & Lemon Lozenges - 16 Capsules, 1 Each, $3.50,$3.50 was $4.75,https://new.igashop.com.au/sm/pickup/rsid/52511/product/medix-honey-&-lemon-lozenges-16-capsules-841391,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/841391.jpg",IGA,NSW,2060
Medix Ibuprofen Soft Gel Caps, 20 Each, $3.83,$3.83 was $4.10$0.19 each,https://new.igashop.com.au/sm/pickup/rsid/52511/product/medix-ibuprofen-soft-gel-caps-841113,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/841113.jpg",IGA,NSW,2060
Medix Paracetamol Caplets, 20 Each, $2.58,$2.58 was $2.75$0.13 each,https://new.igashop.com.au/sm/pickup/rsid/52511/product/medix-paracetamol-caplets-841155,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/841155.jpg",IGA,NSW,2060
Mentholatum Ice Gel Therapy, 100 Gram, $4.70,$4.70 was $5.30$4.70/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/mentholatum-ice-gel-therapy-992134,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/992134.jpg",IGA,NSW,2060
Mentos Mint, 3 Each, $3.00,$3.00 was $3.25$1.00 each,https://new.igashop.com.au/sm/pickup/rsid/52511/product/mentos-mint-657920,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/657920.jpg",IGA,NSW,2060
Menz Bumbles Milk Choc Honeycomb, 400 Gram, $4.31,$4.31 was $5.00$1.08/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/menz-bumbles-milk-choc-honeycomb-465713,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/465713.jpg",IGA,NSW,2060
Mildura Orange & Mango Fruit Drink, 2 Litre, $3.30,$3.30 was $4.00$1.65/l,https://new.igashop.com.au/sm/pickup/rsid/52511/product/mildura-orange-&-mango-fruit-drink-972016,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/972016.jpg",IGA,NSW,2060
Mildura Orange & Passionfruit, 500 Millilitre, $2.10,$2.10 was $2.15$0.42/100ml,https://new.igashop.com.au/sm/pickup/rsid/52511/product/mildura-orange-&-passionfruit-371370,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/371370.jpg",IGA,NSW,2060
Mildura Tropical Fruit Drink, 2 Litre, $3.30,$3.30 was $4.00$1.65/l,https://new.igashop.com.au/sm/pickup/rsid/52511/product/mildura-tropical-fruit-drink-971722,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/971722.jpg",IGA,NSW,2060
Milo Dipped Snack Bars with White Chocolate, 10 Each, $5.60,$5.60 was $7.00$0.56 each,https://new.igashop.com.au/sm/pickup/rsid/52511/product/milo-dipped-snack-bars-with-white-chocolate-88956,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/88956.jpg",IGA,NSW,2060
Mirabella GLS LED Warm White Brightness 1400 Lumens 14 Watt Bayonet, 1 Each, $9.00,$9.00 was $10.00,https://new.igashop.com.au/sm/pickup/rsid/52511/product/mirabella-gls-led-warm-white-brightness-1400-lumens-14-watt-bayonet-769824,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/769824.jpg",IGA,NSW,2060
Mirabella LED 11W Warm White GLS Bayonet Cap, 1 Each, $7.50,$7.50 was $8.00,https://new.igashop.com.au/sm/pickup/rsid/52511/product/mirabella-led-11w-warm-white-gls-bayonet-cap-492508,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/492508.jpg",IGA,NSW,2060
Mirabella LED 11W Warm White GLS Round Globe, 1 Each, $7.50,$7.50 was $8.00,https://new.igashop.com.au/sm/pickup/rsid/52511/product/mirabella-led-11w-warm-white-gls-round-globe-223357,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/223357.jpg",IGA,NSW,2060
