product,deal,price,span,url,img,store,state,postcode
Femfresh Daily Intimate Wash, 250 Millilitre, $5.00,$5.00 was $7.00$2.00/100ml,https://new.igashop.com.au/sm/pickup/rsid/52511/product/femfresh-daily-intimate-wash-356786,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/356786.jpg",IGA,NSW,2060
Femfresh Deodorising Wash, 250 Millilitre, $5.00,$5.00 was $7.00$2.00/100ml,https://new.igashop.com.au/sm/pickup/rsid/52511/product/femfresh-deodorising-wash-891558,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/891558.jpg",IGA,NSW,2060
Femfresh Intimate Hygiene Feminine Wipes, 20 Each, $5.00,$5.00 was $6.50$0.25 each,https://new.igashop.com.au/sm/pickup/rsid/52511/product/femfresh-intimate-hygiene-feminine-wipes-382193,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/382193.jpg",IGA,NSW,2060
Femfresh Sensitive Wash, 250 Millilitre, $5.00,$5.00 was $7.00$2.00/100ml,https://new.igashop.com.au/sm/pickup/rsid/52511/product/femfresh-sensitive-wash-671275,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/671275.jpg",IGA,NSW,2060
Ferrero Rocher, 3 Each, $1.75,$1.75 was $2.00$0.58 each,https://new.igashop.com.au/sm/pickup/rsid/52511/product/ferrero-rocher-391605,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/391605.jpg",IGA,NSW,2060
Fibre Cycle Back to Nature Animal Bedding, 10 Litre, $13.00,$13.00 was $14.00$1.30/l,https://new.igashop.com.au/sm/pickup/rsid/52511/product/fibre-cycle-back-to-nature-animal-bedding-799285,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/799285.jpg",IGA,NSW,2060
Fibre One Chocolate Fudge Brownies, 5 Each, $5.00,$5.00 was $6.50$1.00 each,https://new.igashop.com.au/sm/pickup/rsid/52511/product/fibre-one-chocolate-fudge-brownies-160000014009,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/160000014009.jpeg",IGA,NSW,2060
Five Brothers Oven Roasted Garlic & Onion Pasta Sauce, 500 Gram, $3.50,$3.50 was $4.10$0.70/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/five-brothers-oven-roasted-garlic-&-onion-pasta-sauce-20000001089,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000001089.jpg",IGA,NSW,2060
Flora ProActiv Cholesterol Lowering Spread Buttery, 750 Gram, $11.88,$11.88 was $12.00$1.58/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/flora-proactiv-cholesterol-lowering-spread-buttery-174155,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/174155.jpg",IGA,NSW,2060
Fluffy Fabric Softener Divine Blends Vanilla & Coconut, 1.9 Litre, $10.00,$10.00 was $13.00$5.26/l,https://new.igashop.com.au/sm/pickup/rsid/52511/product/fluffy-fabric-softener-divine-blends-vanilla-&-coconut-833908,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/833908.jpg",IGA,NSW,2060
Fluffy Fragrance Temptations Fabric Softener Spice Allure, 2 Litre, $10.00,$10.00 was $13.00$5.00/l,https://new.igashop.com.au/sm/pickup/rsid/52511/product/fluffy-fragrance-temptations-fabric-softener-spice-allure-608696,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/608696.jpg",IGA,NSW,2060
Four 'N Twenty Pies Party, 12 Each, $5.50,$5.50 was $6.00$0.46 each,https://new.igashop.com.au/sm/pickup/rsid/52511/product/four-n-twenty-pies-party-132695,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/132695.jpg",IGA,NSW,2060
Four 'N Twenty Sausage Roll Party, 12 Each, $5.50,$5.50 was $6.00$0.46 each,https://new.igashop.com.au/sm/pickup/rsid/52511/product/four-n-twenty-sausage-roll-party-132700,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/132700.jpg",IGA,NSW,2060
Frantelle Pineapple & Orange Sparkling Water, 10 Each, $7.50,$7.50 was $13.20$0.75 each,https://new.igashop.com.au/sm/pickup/rsid/52511/product/frantelle-pineapple-&-orange-sparkling-water-484047,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/484047.jpg",IGA,NSW,2060
Frantelle Sparkling Mineral Water Raspberry & Blackcurrant, 10 Each, $7.50,$7.50 was $13.20$0.75 each,https://new.igashop.com.au/sm/pickup/rsid/52511/product/frantelle-sparkling-mineral-water-raspberry-&-blackcurrant-190000003650,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/190000003650.jpg",IGA,NSW,2060
Frantelle Sparkling Water Lime & Lemon 375ml, 10 Each, $7.50,$7.50 was $13.20$0.75 each,https://new.igashop.com.au/sm/pickup/rsid/52511/product/frantelle-sparkling-water-lime-&-lemon-375ml-483724,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/483724.jpg",IGA,NSW,2060
Frantelle Sparkling Water Tropical Passionfruit, 10 Each, $7.50,$7.50 was $13.20$0.75 each,https://new.igashop.com.au/sm/pickup/rsid/52511/product/frantelle-sparkling-water-tropical-passionfruit-190000003651,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/190000003651.jpg",IGA,NSW,2060
Frantelle Still Spring Water, 24 Each, $12.00,$12.00 was $16.70$0.50 each,https://new.igashop.com.au/sm/pickup/rsid/52511/product/frantelle-still-spring-water-7829,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/7829.jpg",IGA,NSW,2060
Frantelle Still Water, 15 Litre, $10.50,$10.50 was $11.50$0.70/l,https://new.igashop.com.au/sm/pickup/rsid/52511/product/frantelle-still-water-409911,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/409911.jpg",IGA,NSW,2060
Frantelle Still Water, 1.5 Litre, $1.10,$1.10 was $1.15$0.73/l,https://new.igashop.com.au/sm/pickup/rsid/52511/product/frantelle-still-water-75592,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/75592.jpg",IGA,NSW,2060
Free Country Lamb Loin Chop, 500 Gram, $12.50 avg/ea,$12.50 avg/ea was $15.50 avg/ea$25.00/kg,https://new.igashop.com.au/sm/pickup/rsid/52511/product/free-country-lamb-loin-chop-180034,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180034.jpg",IGA,NSW,2060
