product,deal,price,span,url,img,store,state,postcode
Coca Cola No Sugar 300ml, 12 Each, $9.40,$9.40 was $15.95$0.78 each,https://new.igashop.com.au/sm/pickup/rsid/52511/product/coca-cola-no-sugar-300ml-180000000437,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/983745.jpg",IGA,NSW,2060
Coca Cola No Sugar Bottle, 2 Litre, $3.45,$3.45 was $3.65$1.73/l,https://new.igashop.com.au/sm/pickup/rsid/52511/product/coca-cola-no-sugar-bottle-921743,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/921743.jpg",IGA,NSW,2060
Coca Cola No Sugar Cans, 24 Each, $20.70,$20.70 was $34.00$0.86 each,https://new.igashop.com.au/sm/pickup/rsid/52511/product/coca-cola-no-sugar-cans-848733,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/848733_1.jpg",IGA,NSW,2060
Coca Cola No Sugar Soft Drink Multipack 300ml, 12 Each, $9.40,$9.40 was $15.95$0.78 each,https://new.igashop.com.au/sm/pickup/rsid/52511/product/coca-cola-no-sugar-soft-drink-multipack-300ml-20000006065,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000006065.jpg",IGA,NSW,2060
Coca Cola Vanilla Bottle, 2 Litre, $3.45,$3.45 was $3.65$1.73/l,https://new.igashop.com.au/sm/pickup/rsid/52511/product/coca-cola-vanilla-bottle-932126,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/932126.jpg",IGA,NSW,2060
Cocobella Coconut Water Chocolate, 1 Litre, $3.50,$3.50 was $5.00$3.50/l,https://new.igashop.com.au/sm/pickup/rsid/52511/product/cocobella-coconut-water-chocolate-647051,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/647051.jpg",IGA,NSW,2060
Cocobella Coconut Water Straight Up, 1 Litre, $3.50,$3.50 was $5.00$3.50/l,https://new.igashop.com.au/sm/pickup/rsid/52511/product/cocobella-coconut-water-straight-up-240273,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/240273.jpg",IGA,NSW,2060
Cold Power 2in1 Laundry Detergent Powder with Fabric Softener , 1.8 Kilogram, $9.75,$9.75 was $19.50$5.42/kg,https://new.igashop.com.au/sm/pickup/rsid/52511/product/cold-power-2in1-laundry-detergent-powder-with-fabric-softener--806728,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/806728.jpg",IGA,NSW,2060
Cold Power Advanced Clean Laundry Detergent Liquid, 2 Litre, $9.75,$9.75 was $19.50$4.88/l,https://new.igashop.com.au/sm/pickup/rsid/52511/product/cold-power-advanced-clean-laundry-detergent-liquid-805243,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/805243.jpg",IGA,NSW,2060
Cold Power Advanced Clean Laundry Detergent Liquid, 4 Litre, $18.00,$18.00 was $30.00$4.50/l,https://new.igashop.com.au/sm/pickup/rsid/52511/product/cold-power-advanced-clean-laundry-detergent-liquid-805251,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/805251.jpg",IGA,NSW,2060
