product,deal,price,span,url,img,store,state,postcode
SunRice White Long Grain Rice Pouch, 250 Gram, $2.50,$2.50 was $3.00$1.00/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/sunrice-white-long-grain-rice-pouch-441395,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/441395.jpg",IGA,NSW,2060
Suntory Boss Coffee Iced Vanilla Latte, 237 Millilitre, $2.75,$2.75 was $3.75$1.16/100ml,https://new.igashop.com.au/sm/pickup/rsid/52511/product/suntory-boss-coffee-iced-vanilla-latte-984241,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/984241.jpg",IGA,NSW,2060
Super Nature Super Foods Sweet Potato Cottage Pie, 350 Gram, $5.00,$5.00 was $6.30$1.43/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/super-nature-super-foods-sweet-potato-cottage-pie-668853,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/668853.jpg",IGA,NSW,2060
Super Nature Super Green Sri Lankan Bowl, 350 Gram, $5.00,$5.00 was $6.30$1.43/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/super-nature-super-green-sri-lankan-bowl-491688,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/491688.jpg",IGA,NSW,2060
Super Nature Super Lunch Frozen Meal Pad Thai Chicken, 350 Gram, $5.00,$5.00 was $6.30$1.43/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/super-nature-super-lunch-frozen-meal-pad-thai-chicken-668900,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/668900.jpg",IGA,NSW,2060
Super Nature Wellness Bowl Green Chickpea Curry With Quinoa & Brown Rice, 350 Gram, $5.00,$5.00 was $6.30$1.43/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/super-nature-wellness-bowl-green-chickpea-curry-with-quinoa-&-brown-rice-887949,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/887949.jpg",IGA,NSW,2060
Super Nature Wellness Bowl Satay Chicken & Quinoa, Chickpea & Wild Rice, 350 Gram,$5.00 was $6.30$1.43/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/super-nature-wellness-bowl-satay-chicken-&-quinoa-chickpea-&-wild-rice-887818,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/887818.jpg",IGA,NSW,2060
Super Nature Wellness Bowl Wholegrain Butter Chicken & Ancient Grain, 350 Gram, $5.00,$5.00 was $6.30$1.43/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/super-nature-wellness-bowl-wholegrain-butter-chicken-&-ancient-grain-887910,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/887910.jpg",IGA,NSW,2060
Talon Rat & Mouse Baits Killer 6 Pellet Trays, 150 Gram, $5.60,$5.60 was $8.00$3.73/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/talon-rat-&-mouse-baits-killer-6-pellet-trays-65327,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/65327.jpg",IGA,NSW,2060
Talon Wax Block, 72 Gram, $4.55,$4.55 was $6.50$6.32/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/talon-wax-block-365337,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/365337.jpg",IGA,NSW,2060
Tasmanian Heritage Camembert Cheese, 125 Gram, $4.00,$4.00 was $6.00$3.20/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/tasmanian-heritage-camembert-cheese-118125,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/118125.jpg",IGA,NSW,2060
Tasmanian Heritage Triple Cream Brie, 125 Gram, $4.00,$4.00 was $6.00$3.20/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/tasmanian-heritage-triple-cream-brie-993614,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/993614.jpg",IGA,NSW,2060
TENA Liners Ultimate Coverage Ultra Long Liner, 22 Each, $3.80,$3.80 was $5.00$0.17 each,https://new.igashop.com.au/sm/pickup/rsid/52511/product/tena-liners-ultimate-coverage-ultra-long-liner-687072,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/687072.jpg",IGA,NSW,2060
Tetley Extra Strong Tea Bags, 50 Each, $2.73,$2.73 was $3.40$0.05 each,https://new.igashop.com.au/sm/pickup/rsid/52511/product/tetley-extra-strong-tea-bags-190000002986,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/190000002986.jpg",IGA,NSW,2060
The Bar Counter Bar High Protein Chocolate Mint, 40 Gram, $2.83,$2.83 was $3.00$7.08/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/the-bar-counter-bar-high-protein-chocolate-mint-703831,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/703831.jpg",IGA,NSW,2060
The Bar Counter No Added Sugar Bar Chocolate & Hazelnut, 40 Gram, $2.83,$2.83 was $3.00$7.08/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/the-bar-counter-no-added-sugar-bar-chocolate-&-hazelnut-321634,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/321634.jpg",IGA,NSW,2060
The Bar Counter Plant Protein Dark Choc Coconut, 40 Gram, $2.83,$2.83 was $3.00$7.08/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/the-bar-counter-plant-protein-dark-choc-coconut-703768,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/703768.jpg",IGA,NSW,2060
The Juice Farm Lemonade Juice, 500 Millilitre, $2.61,$2.61 was $2.75$0.52/100ml,https://new.igashop.com.au/sm/pickup/rsid/52511/product/the-juice-farm-lemonade-juice-190000000887,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/190000000887.jpg",IGA,NSW,2060
