product,deal,price,span,url,img,store,state,postcode
The Market Grocer Kimberly Chilli Mix, 400 Gram, $7.99,$7.99 was $9.19$2.00/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/the-market-grocer-kimberly-chilli-mix-5478,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/5478.jpg",IGA,NSW,2060
The Market Grocer Macadamias Raw & Salted, 300 Gram, $16.99,$16.99 was $19.59$5.66/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/the-market-grocer-macadamias-raw-&-salted-3002,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/3002.jpg",IGA,NSW,2060
The Market Grocer Mango Slices, 225 Gram, $4.49,$4.49 was $5.19$2.00/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/the-market-grocer-mango-slices-180000000287,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000287.jpg",IGA,NSW,2060
The Market Grocer Nut Mix Premium Raw, 500 Gram, $12.59,$12.59 was $14.59$2.52/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/the-market-grocer-nut-mix-premium-raw-20000004296,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000004296.jpg",IGA,NSW,2060
The Market Grocer Nuts Mixed Salted, 500 Gram, $9.59,$9.59 was $10.99$1.92/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/the-market-grocer-nuts-mixed-salted-180000000446,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000446.jpg",IGA,NSW,2060
The Market Grocer Pistachio Kernels, 125 Gram, $7.79,$7.79 was $8.89$6.23/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/the-market-grocer-pistachio-kernels-2303,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/2303.jpg",IGA,NSW,2060
The Market Grocer Pistachios, 375 Gram, $9.99,$9.99 was $15.19$2.66/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/the-market-grocer-pistachios-180000000751,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000751.jpg",IGA,NSW,2060
The Market Grocer Pistachios Unsalted, 375 Gram, $9.99,$9.99 was $15.19$2.66/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/the-market-grocer-pistachios-unsalted-4107,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/4107.jpg",IGA,NSW,2060
The Market Grocer Premium Cashews Salted, 400 Gram, $8.99,$8.99 was $12.79$2.25/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/the-market-grocer-premium-cashews-salted-160000013445,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/160000013445.jpg",IGA,NSW,2060
The Market Grocer Pretzel Chocolate, 200 Gram, $4.49,$4.49 was $5.19$2.25/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/the-market-grocer-pretzel-chocolate-2928,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/2928.jpg",IGA,NSW,2060
The Market Grocer Raw Peanut, 500 Gram, $4.89,$4.89 was $5.59$0.98/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/the-market-grocer-raw-peanut-3334,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/3334.jpg",IGA,NSW,2060
The Market Grocer Soya Crisps, 300 Gram, $5.29,$5.29 was $6.09$1.76/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/the-market-grocer-soya-crisps-4759,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/4759.jpg",IGA,NSW,2060
The Market Grocer Soya Crisps Lime, 300 Gram, $5.39,$5.39 was $6.29$1.80/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/the-market-grocer-soya-crisps-lime-20000006179,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000006179.jpg",IGA,NSW,2060
The Market Grocer Unsalted Cashews, 400 Gram, $8.99,$8.99 was $12.79$2.25/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/the-market-grocer-unsalted-cashews-180000000339,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000339.jpg",IGA,NSW,2060
The Market Grocer Walnut Halves, 500 Gram, $9.99,$9.99 was $13.69$2.00/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/the-market-grocer-walnut-halves-190000003834,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/190000003834.jpg",IGA,NSW,2060
The Natural Chip Co. Honey Soy Chicken, 175 Gram, $3.00,$3.00 was $4.30$1.71/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/the-natural-chip-co-honey-soy-chicken-410129,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/410129.jpg",IGA,NSW,2060
The Natural Chip Co. Sea Salt & Vinegar Chips, 175 Gram, $3.00,$3.00 was $4.30$1.71/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/the-natural-chip-co-sea-salt-&-vinegar-chips-410103,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/410103.jpg",IGA,NSW,2060
The Natural Chip Co. Sea Salt Chips, 175 Gram, $3.00,$3.00 was $4.30$1.71/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/the-natural-chip-co-sea-salt-chips-410072,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/410072.jpg",IGA,NSW,2060
