product,deal,price,span,url,img,store,state,postcode
Primo Thinly Sliced Roast Beef, 80 Gram, $3.40,$3.40 was $3.50$4.25/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/primo-thinly-sliced-roast-beef-700074,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/700074.jpg",IGA,NSW,2060
Primo Thinly Sliced Turkey Breast, 80 Gram, $3.40,$3.40 was $3.50$4.25/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/primo-thinly-sliced-turkey-breast-700045,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/700045.jpg",IGA,NSW,2060
Primo Twiggy Sticks, 200 Gram, $5.25,$5.25 was $6.90$2.63/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/primo-twiggy-sticks-270870,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/270870.jpg",IGA,NSW,2060
Pringles Minis Chicken Flavour Crisps, 5 Each, $2.90,$2.90 was $3.20$0.58 each,https://new.igashop.com.au/sm/pickup/rsid/52511/product/pringles-minis-chicken-flavour-crisps-703917,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/703917.jpg",IGA,NSW,2060
Pringles Minis Salted Chips Multipack, 5 Each, $2.90,$2.90 was $3.20$0.58 each,https://new.igashop.com.au/sm/pickup/rsid/52511/product/pringles-minis-salted-chips-multipack-324674,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/324674.jpg",IGA,NSW,2060
Pringles Minis Sour Cream & Onion Chips Multi, 5 Each, $2.90,$2.90 was $3.20$0.58 each,https://new.igashop.com.au/sm/pickup/rsid/52511/product/pringles-minis-sour-cream-&-onion-chips-multi-324894,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/324894.jpg",IGA,NSW,2060
Provoke Touch Of Silver Brightening Shampoo, 200 Millilitre, $12.05,$12.05 was $13.00$6.03/100ml,https://new.igashop.com.au/sm/pickup/rsid/52511/product/provoke-touch-of-silver-brightening-shampoo-783792,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/783792.jpg",IGA,NSW,2060
Provoke Touch Of Silver Daily Maintenance Shampoo, 400 Millilitre, $9.27,$9.27 was $10.00$2.32/100ml,https://new.igashop.com.au/sm/pickup/rsid/52511/product/provoke-touch-of-silver-daily-maintenance-shampoo-783815,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/783815.jpg",IGA,NSW,2060
Provoke Touch Of Silver Daily Nourish Conditioner, 400 Millilitre, $9.27,$9.27 was $10.00$2.32/100ml,https://new.igashop.com.au/sm/pickup/rsid/52511/product/provoke-touch-of-silver-daily-nourish-conditioner-783933,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/783933.jpg",IGA,NSW,2060
Provoke Touch Of Silver Intensive Conditioner, 200 Millilitre, $12.05,$12.05 was $13.00$6.03/100ml,https://new.igashop.com.au/sm/pickup/rsid/52511/product/provoke-touch-of-silver-intensive-conditioner-783904,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/783904.jpg",IGA,NSW,2060
Pump Water Lemon, 750 Millilitre, $3.00,$3.00 was $3.55$0.40/100ml,https://new.igashop.com.au/sm/pickup/rsid/52511/product/pump-water-lemon-339103,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/339103.jpg",IGA,NSW,2060
Pumpkin Kent, 4 Kilogram, $9.20 avg/ea,$9.20 avg/ea was $16.00 avg/ea$2.30/kg,https://new.igashop.com.au/sm/pickup/rsid/52511/product/pumpkin-kent-80060065,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80060065.jpg",IGA,NSW,2060
Quilton Classic White Toilet Tissue, 9 Each, $5.25,$5.25 was $6.75$0.58 each,https://new.igashop.com.au/sm/pickup/rsid/52511/product/quilton-classic-white-toilet-tissue-431112,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/431112.jpg",IGA,NSW,2060
Quilton Classic White Toilet Tissue 3 Ply, 18 Each, $9.50,$9.50 was $12.00$0.53 each,https://new.igashop.com.au/sm/pickup/rsid/52511/product/quilton-classic-white-toilet-tissue-3-ply-240838,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/240838.jpg",IGA,NSW,2060
Quilton Toilet Roll White 3ply Double Length, 4 Each, $4.75,$4.75 was $6.05$1.19 each,https://new.igashop.com.au/sm/pickup/rsid/52511/product/quilton-toilet-roll-white-3ply-double-length-676513,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/676513.jpg",IGA,NSW,2060
Rafferty's Garden Apple Sticks 8+ Months, 15 Gram, $1.86,$1.86 was $2.00$12.40/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/raffertys-garden-apple-sticks-8-months-160000012438,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/160000012438.jpg",IGA,NSW,2060
Rafferty's Garden Blueberry Mini Yoghurt Drops 8+ Months, 8 Gram, $1.84,$1.84 was $2.00$23.00/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/raffertys-garden-blueberry-mini-yoghurt-drops-8-months-160000012443,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/160000012443.jpg",IGA,NSW,2060
Rafferty's Garden Snack Apple Fruit Bars, 8 Each, $3.60,$3.60 was $4.50$0.45 each,https://new.igashop.com.au/sm/pickup/rsid/52511/product/raffertys-garden-snack-apple-fruit-bars-63516,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/63516.jpg",IGA,NSW,2060
Rafferty's Garden Snack Banana Fruit Bars, 8 Each, $3.60,$3.60 was $4.50$0.45 each,https://new.igashop.com.au/sm/pickup/rsid/52511/product/raffertys-garden-snack-banana-fruit-bars-63524,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/63524.jpg",IGA,NSW,2060
Rafferty's Garden Snack Blueberry Banana Apple, 8 Each, $3.60,$3.60 was $4.50$0.45 each,https://new.igashop.com.au/sm/pickup/rsid/52511/product/raffertys-garden-snack-blueberry-banana-apple-393848,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/393848.jpg",IGA,NSW,2060
Rafferty's Garden Yoghurt Drop Mini Banana 8+ Years, 8 Gram, $1.84,$1.84 was $2.00$23.00/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/raffertys-garden-yoghurt-drop-mini-banana-8-years-963384,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/963384.jpg",IGA,NSW,2060
Rafferty's Garden Yoghurt Drop Mini Natural, 8 Gram, $1.84,$1.84 was $2.00$23.00/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/raffertys-garden-yoghurt-drop-mini-natural-963392,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/963392.jpg",IGA,NSW,2060
Ratsak Clean Kill Mouse Trap, 2 Each, $7.00,$7.00 was $10.00$3.50 each,https://new.igashop.com.au/sm/pickup/rsid/52511/product/ratsak-clean-kill-mouse-trap-20000005386,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000005386.jpg",IGA,NSW,2060
Ratsak Disposable Mouse Bait Station, 1 Each, $7.35,$7.35 was $10.50,https://new.igashop.com.au/sm/pickup/rsid/52511/product/ratsak-disposable-mouse-bait-station-866430,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/866430.jpg",IGA,NSW,2060
Ratsak Double Strength, 350 Gram, $6.30,$6.30 was $9.00$1.80/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/ratsak-double-strength-65880,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/65880.jpg",IGA,NSW,2060
Ratsak Fast Act Bait Station, 250 Gram, $5.60,$5.60 was $8.00$2.24/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/ratsak-fast-act-bait-station-1519,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1519.jpg",IGA,NSW,2060
Ratsak Fast Action Throw Pack, 100 Gram, $5.25,$5.25 was $7.50$5.25/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/ratsak-fast-action-throw-pack-20000003380,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000003380.jpg",IGA,NSW,2060
Red Bull Energy Drink, 250 Millilitre, $2.65,$2.65 was $3.00$1.06/100ml,https://new.igashop.com.au/sm/pickup/rsid/52511/product/red-bull-energy-drink-190000000879,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/190000000879.jpg",IGA,NSW,2060
Red Bull Energy Drink, 250 Millilitre, $2.65,$2.65 was $3.00$1.06/100ml,https://new.igashop.com.au/sm/pickup/rsid/52511/product/red-bull-energy-drink-787220,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/787220.jpg",IGA,NSW,2060
Red Rock Deli Cheddar & Parmesan Deli Style Crackers, 135 Gram, $2.25,$2.25 was $4.50$1.67/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/red-rock-deli-cheddar-&-parmesan-deli-style-crackers-150000000733,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/150000000733.jpg",IGA,NSW,2060
