product,deal,price,span,url,img,store,state,postcode
Ceda Classic Creaming Soda, 1.25 Litre, $1.35,$1.35 was $1.55$1.08/l,https://new.igashop.com.au/sm/pickup/rsid/52511/product/ceda-classic-creaming-soda-23341,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/23341.jpg",IGA,NSW,2060
Cenovis Cold Sore Complex, 30 Each, $7.45,$7.45 was $14.95$0.25 each,https://new.igashop.com.au/sm/pickup/rsid/52511/product/cenovis-cold-sore-complex-80725,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80725.jpg",IGA,NSW,2060
Cenovis Echinacea 5000mg Capsules, 60 Each, $8.20,$8.20 was $16.50$0.14 each,https://new.igashop.com.au/sm/pickup/rsid/52511/product/cenovis-echinacea-5000mg-capsules-468436,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/468436.jpg",IGA,NSW,2060
Cenovis Echinacea, Garlic, Zinc + C Tablets,$8.50 was $17.00$0.14 each,https://new.igashop.com.au/sm/pickup/rsid/52511/product/cenovis-echinacea-garlic-zinc-c-tablets-354962,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/354962.jpg",IGA,NSW,2060
Cenovis Garlic Horseradish & Vitamin C, 120 Each, $8.70,$8.70 was $17.50$0.07 each,https://new.igashop.com.au/sm/pickup/rsid/52511/product/cenovis-garlic-horseradish-&-vitamin-c-489199,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/489199.jpg",IGA,NSW,2060
Cenovis Garlic Immunity Capsules, 60 Each, $5.15,$5.15 was $10.30$0.09 each,https://new.igashop.com.au/sm/pickup/rsid/52511/product/cenovis-garlic-immunity-capsules-160000012968,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/160000012968.jpg",IGA,NSW,2060
Cenovis Mega C, 60 Each, $5.35,$5.35 was $10.75$0.09 each,https://new.igashop.com.au/sm/pickup/rsid/52511/product/cenovis-mega-c-693324,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/693324.jpg",IGA,NSW,2060
Cenovis Mega C 1000mg, 100 Each, $7.95,$7.95 was $15.90$0.08 each,https://new.igashop.com.au/sm/pickup/rsid/52511/product/cenovis-mega-c-1000mg-190000000024,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/190000000024.jpg",IGA,NSW,2060
Cenovis Sugarless C 500mg Orange Flavour Tablets, 100 Each, $4.25,$4.25 was $8.50$0.04 each,https://new.igashop.com.au/sm/pickup/rsid/52511/product/cenovis-sugarless-c-500mg-orange-flavour-tablets-65652,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/65652.jpg",IGA,NSW,2060
Cenovis Vitamin C 250mg Tablets Orange Flavour, 150 Each, $5.65,$5.65 was $11.50$0.04 each,https://new.igashop.com.au/sm/pickup/rsid/52511/product/cenovis-vitamin-c-250mg-tablets-orange-flavour-679375,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/679375.jpg",IGA,NSW,2060
