product,deal,price,span,url,img,store,state,postcode
Papa Joe's Blueberry Bread, 700 Gram, $5.50,$5.50 was $8.10$0.79/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/papa-joes-blueberry-bread-726651,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/726651.jpg",IGA,NSW,2060
Papa Joe's Pear and Raspberry Bread, 700 Gram, $5.50,$5.50 was $8.10$0.79/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/papa-joes-pear-and-raspberry-bread-726669,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/726669.jpg",IGA,NSW,2060
Paris Creek Farms Bio Dynamic Bush Honey and Vanilla Yoghurt, 1 Kilogram, $6.25,$6.25 was $7.80$6.25/kg,https://new.igashop.com.au/sm/pickup/rsid/52511/product/paris-creek-farms-bio-dynamic-bush-honey-and-vanilla-yoghurt-811228,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/811228.jpg",IGA,NSW,2060
Paris Creek Farms Bio Dynamic Natural Low Fat Yoghurt, 1 Kilogram, $6.25,$6.25 was $7.80$6.25/kg,https://new.igashop.com.au/sm/pickup/rsid/52511/product/paris-creek-farms-bio-dynamic-natural-low-fat-yoghurt-811147,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/811147.jpg",IGA,NSW,2060
Paris Creek Farms Farms Bio Dynamic Natural Swiss Yoghurt, 1 Kilogram, $6.25,$6.25 was $7.80$6.25/kg,https://new.igashop.com.au/sm/pickup/rsid/52511/product/paris-creek-farms-farms-bio-dynamic-natural-swiss-yoghurt-811058,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/811058.jpg",IGA,NSW,2060
Parker's Mini Pretzel Mini, 225 Gram, $3.10,$3.10 was $4.30$1.38/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/parkers-mini-pretzel-mini-330691,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/330691.jpg",IGA,NSW,2060
Parker's Pretzels Twists, 200 Gram, $3.10,$3.10 was $4.30$1.55/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/parkers-pretzels-twists-457980,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/457980.jpg",IGA,NSW,2060
Pauls Custard Chocolate, 140 Gram, $1.80,$1.80 was $2.20$1.29/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/pauls-custard-chocolate-620106,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/620106.jpg",IGA,NSW,2060
Pauls Custard Vanilla, 140 Gram, $1.80,$1.80 was $2.20$1.29/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/pauls-custard-vanilla-620091,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/620091.jpg",IGA,NSW,2060
Paws Fresh Mince Diced, 600 Gram, $5.00,$5.00 was $5.50$0.83/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/paws-fresh-mince-diced-190000003964,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/190000003964.jpg",IGA,NSW,2060
