product,deal,price,span,url,img,store,state,postcode
Dairy Farmers Thick & Creamy Yoghurt Passionfruit & Mango, 600 Gram, $4.00,$4.00 was $4.50$0.67/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/dairy-farmers-thick-&-creamy-yoghurt-passionfruit-&-mango-180821,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180821.jpg",IGA,NSW,2060
Dandy Bacon Middle, 250 Gram, $3.80,$3.80 was $4.00$1.52/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/dandy-bacon-middle-802266,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/802266.jpg",IGA,NSW,2060
Dandy Economy Bacon Rashers, 1 Kilogram, $9.00,$9.00 was $9.50$9.00/kg,https://new.igashop.com.au/sm/pickup/rsid/52511/product/dandy-economy-bacon-rashers-679650,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/679650.jpg",IGA,NSW,2060
Decor Bright & Healthy Snack & Dip Tubs 75ml, 6 Each, $5.02,$5.02 was $5.99$0.84 each,https://new.igashop.com.au/sm/pickup/rsid/52511/product/decor-bright-&-healthy-snack-&-dip-tubs-75ml-288276,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/288276.jpg",IGA,NSW,2060
Decor Double Wall Reusable Stainless Steel Flask, 400 Millilitre, $10.80,$10.80 was $15.50$2.70/100ml,https://new.igashop.com.au/sm/pickup/rsid/52511/product/decor-double-wall-reusable-stainless-steel-flask-880222,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/880222.jpg",IGA,NSW,2060
Decor Go Click Snack Box, 1 Each, $5.25,$5.25 was $6.00,https://new.igashop.com.au/sm/pickup/rsid/52511/product/decor-go-click-snack-box-849022,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/849022.jpg",IGA,NSW,2060
Decor Go Lunch Box Oblong 800ml, 1 Each, $7.44,$7.44 was $8.50,https://new.igashop.com.au/sm/pickup/rsid/52511/product/decor-go-lunch-box-oblong-800ml-848699,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/848699.jpg",IGA,NSW,2060
Decor Go Snack Box Divided, 1 Each, $8.83,$8.83 was $10.00,https://new.igashop.com.au/sm/pickup/rsid/52511/product/decor-go-snack-box-divided-601039,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/601039.jpg",IGA,NSW,2060
Decor Hydrate Tritan Bottle 1L, 1 Each, $7.30,$7.30 was $10.50,https://new.igashop.com.au/sm/pickup/rsid/52511/product/decor-hydrate-tritan-bottle-1l-881058,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/881058.jpg",IGA,NSW,2060
Decor Lunch Box Ice Pack Small Assorted, 2 Each, $6.53,$6.53 was $7.50$3.27 each,https://new.igashop.com.au/sm/pickup/rsid/52511/product/decor-lunch-box-ice-pack-small-assorted-773093,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/773093.jpg",IGA,NSW,2060
Decor Lunch Break Dressing Tubs, 6 Each, $3.50,$3.50 was $5.00$0.58 each,https://new.igashop.com.au/sm/pickup/rsid/52511/product/decor-lunch-break-dressing-tubs-234730,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/234730.jpg",IGA,NSW,2060
Decor Pumped Soft Touch Stainless Steel Water Drink Bottle 500ml, 1 Each, $6.60,$6.60 was $9.50,https://new.igashop.com.au/sm/pickup/rsid/52511/product/decor-pumped-soft-touch-stainless-steel-water-drink-bottle-500ml-632611,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/632611.jpg",IGA,NSW,2060
Decor Pumped Tritan Bottle  Assorted, 1 Each, $7.30,$7.30 was $10.50,https://new.igashop.com.au/sm/pickup/rsid/52511/product/decor-pumped-tritan-bottle-assorted-880604,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/880604.jpg",IGA,NSW,2060
Deep Heat Back Patch, 2 Each, $8.39,$8.39 was $9.40$4.20 each,https://new.igashop.com.au/sm/pickup/rsid/52511/product/deep-heat-back-patch-55636,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/55636.jpg",IGA,NSW,2060
Deep Heat Lower Back Belt & Hip, 1 Each, $8.00,$8.00 was $9.00,https://new.igashop.com.au/sm/pickup/rsid/52511/product/deep-heat-lower-back-belt-&-hip-795964,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/795964.jpg",IGA,NSW,2060
Dencorub Arthritis Cream, 100 Gram, $6.10,$6.10 was $7.00$6.10/100g,https://new.igashop.com.au/sm/pickup/rsid/52511/product/dencorub-arthritis-cream-634370,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/634370.jpg",IGA,NSW,2060
